Dataset,Method,Sensors,L2_mean,L2_std,RMSE_mean,RMSE_std,MSE_mean,MSE_std,Time_mean,n_runs
20221122,B3,5,0.1881716281175613,0.0010523870060263278,6.569138009013973,0.03673916280445065,43.154788970947266,0.4823860317975113,609.1372557401658,10
20221122,B3,6,0.1710357621312141,0.002425456635264692,5.9709216842819774,0.08467338129539413,35.65835838317871,1.0149823311680013,578.0091896533966,10
20221122,B3,7,0.15678721070289608,0.0020600371141100944,5.473502543299584,0.07191688362483864,29.963884925842287,0.7877548346118958,519.0781774759292,10
20221122,B4,3,0.22228699773550029,0.0011152393733527975,7.760126297078992,0.03893343071456945,60.220924377441406,0.6044591072554265,109.3931384563446,10
20221122,B4,4,0.19456161856651302,0.001415460834725805,6.792214182168857,0.04941586141393909,46.1363712310791,0.6726667074685686,119.17334268093109,10
20221122,B4,5,0.1808204129338264,0.0013624779355388091,6.312504119062752,0.047564717304058333,39.849744415283205,0.5998977125247489,121.67148816585541,10
20221122,B4,6,0.16430242806673045,0.0008691368716464403,5.735857210072065,0.03034251342471824,32.90088653564453,0.3485118408226635,122.27590997219086,10
20221122,B4,7,0.15037939101457592,0.0011101969090598824,5.2498016314374905,0.03875757359911983,27.561769104003908,0.4062672314322859,119.81457419395447,10
20221122,B5,3,0.22097429037094113,0.002159027157494352,7.714299742985918,0.07537257556850864,59.515533447265625,1.1640909795348386,212.6280544757843,10
20221122,B5,4,0.1953868672251701,0.0015303471760060182,6.821025656865855,0.0534272673742846,46.52896003723144,0.7289200899199454,221.52276470661164,10
20221122,B5,5,0.18027907907962798,0.0017678363518526857,6.293606839845671,0.06171605689049424,39.6129150390625,0.7762598174277383,254.93294196128846,10
20221122,B5,6,0.16319799870252608,0.0015247148509960676,5.697302556882576,0.0532277354759596,32.461806297302246,0.6053778081605927,318.025021648407,10
20221122,B5,7,0.14878280013799663,0.0013804941925715031,5.194064726218854,0.04819370814436611,26.980398750305177,0.4997233195753732,235.04586601257324,10
20221122,B6,3,0.19780259728431698,0.004703588311309816,6.905360420867564,0.16420759756278733,47.70827026367188,2.2748838476508904,533.9215915679931,10
20221122,B6,4,0.18106831908226012,0.0039048958378743092,6.321156878416293,0.1363202080763376,39.9737491607666,1.7299727970684993,683.6623800516129,10
20221122,B6,5,0.17199489325284953,0.0024488030096021687,6.0044027922321845,0.08548828213849773,36.059430313110354,1.0241570395497746,649.7137916564941,10
20221122,B6,6,0.16312513053417202,0.0026472949076649507,5.69475702972222,0.09241798403431394,32.43794460296631,1.0589097832641177,756.7843868494034,10
20221122,B6,7,0.15521446913480755,0.00392560450403779,5.418594549089285,0.13704415429745995,29.37806987762451,1.493094872521578,651.4421981573105,10
20221122,B7,3,0.19698397815227506,0.003584486553362,6.876780451197289,0.12514010347429566,47.30420341491699,1.7462068226481209,438.1805171966553,10
20221122,B7,4,0.17923551648855207,0.0032409829995541923,6.257173142773853,0.11314380069832874,39.16373710632324,1.4185175210431804,436.6337099313736,10
20221122,B7,5,0.17172558456659312,0.00301507172943292,5.995000396706786,0.10525633485787796,35.95000076293945,1.2586701578871147,425.8745908975601,10
20221122,B7,6,0.1647910192608833,0.0031336868609134092,5.752913528607257,0.10939802148303238,33.106785202026366,1.25323214166307,470.21592807769775,10
20221122,B7,7,0.15406325012445446,0.003702618426847437,5.378404638594221,0.12925966848161696,28.942273712158205,1.3961139354379168,483.86658515930174,10
20221123,B1,3,0.1186627820134162,0.0,5.294631888153764,0.0,28.033126831054688,0.0,0.0,1
20221123,B1,4,0.1095878034830093,0.0,4.889716018200593,0.0,23.90932273864746,0.0,0.0,1
20221123,B1,5,0.1001274585723877,0.0,4.467599573973605,0.0,19.95944595336914,0.0,0.0,1
20221123,B1,6,0.0918686911463737,0.0,4.099101754393406,0.0,16.802635192871094,0.0,0.0,1
20221123,B1,7,0.0829966142773628,0.0,3.703241660296512,0.0,13.713998794555664,0.0,0.0,1
20221123,B2,3,0.3749780923128128,0.06772235039455413,16.731209267766566,3.0217246956686927,288.15110168457034,111.17131857624885,39.59135644435882,10
20221123,B2,4,0.30524604916572573,0.03310508578083557,13.61981600285642,1.4771227901539132,187.4630905151367,41.2644014960116,39.13187296390534,10
20221123,B2,5,0.24172881394624707,0.025915684397987426,10.785732424407847,1.1563370930670829,117.53542785644531,25.68169657277287,36.41424887180328,10
20221123,B2,6,0.23065838217735285,0.025236705939223336,10.291779952703248,1.1260438016037322,107.06191177368164,23.446401804563475,38.274478149414065,10
20221123,B2,7,0.20814511775970454,0.024991443572086634,9.287256802712259,1.1150985925836203,87.37223930358887,20.75599986638809,36.396452975273135,10
20221123,B3,3,0.11905656456947322,0.002459404461587579,5.312205662769484,0.10973652295299507,28.230366897583007,1.1807181354497076,526.6248198270798,10
20221123,B3,4,0.10733452371575612,0.0027653969032656158,4.7891728652902295,0.12339167607369698,22.95001810247248,1.1886814186114683,536.5499726642262,11
20221123,B3,5,0.10252567231655119,0.0024785863171858714,4.574603736177793,0.11059249630349892,20.938006973266603,1.011621867814178,464.4589853286743,10
20221123,B3,6,0.09957271814346308,0.0016529307998696873,4.442846138090438,0.07375235092544631,19.74377727508545,0.6543399007551627,470.2860955953598,10
20221123,B3,7,0.09065523594617841,0.0013331097237932066,4.044957886199549,0.05948150416813581,16.364868545532225,0.4827319837653927,464.0696290254593,10
20221123,B4,3,0.11224745586514469,0.0007394212073088595,5.008385769321812,0.032993402167122675,25.084907722473144,0.330268353011077,115.54174752235413,10
20221123,B4,4,0.10295658335089679,0.0010128603784031894,4.593829843839993,0.045193623133903356,21.10521297454834,0.41567958770418667,110.26507872343063,20
20221123,B4,5,0.09626685976982113,0.0008431265157129254,4.295341016202313,0.03761938499626372,18.451228141784668,0.3227057646365442,106.87214062213897,10
20221123,B4,6,0.09388444721698756,0.00033224481172834994,4.18904099220592,0.014824164922090993,17.548262214660646,0.12432298744517625,107.03109884262085,10
20221123,B4,7,0.08788453862071034,0.0009306317760156838,3.921332350284115,0.04152348707831564,15.378399181365968,0.32587295379640974,107.36116530895234,10
20221123,B5,3,0.11223885044455525,0.0013921844806445223,5.008001958579432,0.06211941516352709,25.08355655670166,0.6254747364700192,643.2793856620789,10
20221123,B5,4,0.10277373865246768,0.001018234998346082,4.5856711426193595,0.045432873037262685,21.03034076690674,0.41865888138433266,225.3893806576729,20
20221123,B5,5,0.09632671475410458,0.0011420819471173692,4.298011741425843,0.0509587317465495,18.475242042541502,0.43992907837735373,207.44830198287963,10
20221123,B5,6,0.0947716705501079,0.0014543973023038084,4.228628051899312,0.06489389049379071,17.88508529663086,0.5475197237092949,209.12954440116883,10
20221123,B5,7,0.08751095235347742,0.0009359354621953606,3.9046631660968716,0.04176069428245355,15.247964000701904,0.32716162900885365,208.6386209011078,10
20221123,B6,3,0.10717516317963596,0.0015871321978708584,4.78205929269497,0.07081801980816435,22.872604751586913,0.678554678955779,459.9512717962265,10
20221123,B6,4,0.1021627694368362,0.0010327401133934772,4.558410071704903,0.04607996936408413,20.78108418782552,0.4197842574525939,653.0051561991373,15
20221123,B6,5,0.09598105251789088,0.0007349092033089813,4.282587826535282,0.032791093655588445,18.341526222229003,0.2796715902287019,442.0112666606903,10
20221123,B6,6,0.09638574272394175,0.0015164356339726968,4.300645374153933,0.06766213555615055,18.49967098236084,0.5809524858664941,434.53589329719546,10
20221123,B6,7,0.0898817770183086,0.0011578907481845093,4.0104456944414855,0.051664076502869354,16.086076927185058,0.41181522429287365,537.8108649969101,10
20221123,B7,3,0.10660994872450824,0.002202904736981221,4.756839458678149,0.0982925957270255,22.636216926574708,0.9346543643546807,427.72196488380433,10
20221123,B7,4,0.10190766975283619,0.0013527476906906636,4.547027096424111,0.060358112206682996,20.67873420715332,0.5490219671013152,410.0094163417816,10
20221123,B7,5,0.09609634652733798,0.000640966209043031,4.287732630886642,0.028599066599897912,18.385387229919434,0.2454890709983498,436.06214983463286,10
20221123,B7,6,0.09584550186991686,0.0006247400332232191,4.276539988518842,0.02787446841100257,18.289493560791016,0.2388169828581649,422.26338760852815,10
20221123,B7,7,0.08923673257231708,0.0007691711764878112,3.9816645668907498,0.03431956254718902,15.854712772369385,0.273792645536576,420.9257241010666,10
20221129,B1,3,0.284156322479248,0.0,8.28615577348395,0.0,68.6603775024414,0.0,0.0,1
20221129,B1,4,0.249641865491867,0.0,7.279696188235988,0.0,52.99397659301758,0.0,0.0,1
20221129,B1,5,0.2141927182674408,0.0,6.245975877366525,0.0,39.01221466064453,0.0,0.0,1
20221129,B1,6,0.1954189985990524,0.0,5.698527952479949,0.0,32.47322082519531,0.0,0.0,1
20221129,B1,7,0.1731700897216797,0.0,5.0497369829934815,0.0,25.49984359741211,0.0,0.0,1
20221129,B2,3,0.5062017410993576,0.04298696551762599,14.761123394587093,1.2535248898211915,219.3049560546875,39.311382596942344,37.13148295879364,10
20221129,B2,4,0.47306236028671267,0.02905712407253111,13.794759981083349,0.8473228951813808,190.94156341552736,22.869184573582725,37.03704133033752,10
20221129,B2,5,0.4276246577501297,0.02361833050736011,12.46977188727432,0.6887203241862218,155.92211303710937,17.256433504061555,37.16948137283325,10
20221129,B2,6,0.3901792526245117,0.02842383880023662,11.377843920785104,0.8288560072187705,130.0736343383789,18.453611233025708,37.21989140510559,10
20221129,B2,7,0.3412151575088501,0.027416632093008667,9.950025006715402,0.799484967077165,99.57825622558593,15.893071284207144,36.82145254611969,10
20221129,B3,3,0.2705856680870056,0.0017952580704914472,7.890429809024643,0.05235068385744869,62.26134910583496,0.8247429388347296,485.9191256999969,10
20221129,B3,4,0.25794718265533445,0.0027302966742640744,7.5218853030318105,0.07961706273446331,56.58446350097656,1.1968831091009633,484.1101284742355,10
20221129,B3,5,0.23532726466655726,0.0037877902601302087,6.862273937149778,0.11045635350167392,47.10178413391113,1.5149808469781174,489.79884042739866,10
